========================================
INITIAL EVALUATION: CNNTRANSFORMER
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 384.96 seconds
Highest Val Acc: 0.9573
Default Test Acc: 0.8995
Test ROC-AUC: 0.9607
Test EER (%): 10.05%
Optimal Threshold: 0.003617

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 307.05 seconds
Highest Val Acc: 0.9573
Default Test Acc: 0.8954
Test ROC-AUC: 0.9626
Test EER (%): 10.47%
Optimal Threshold: 0.000858

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 361.75 seconds
Highest Val Acc: 0.9573
Default Test Acc: 0.8956
Test ROC-AUC: 0.9609
Test EER (%): 10.43%
Optimal Threshold: 0.001375

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 565.81 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9178
Test ROC-AUC: 0.9687
Test EER (%): 8.21%
Optimal Threshold: 0.000429

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 412.75 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8920
Test ROC-AUC: 0.9568
Test EER (%): 10.80%
Optimal Threshold: 0.000297

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 668.10 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9002
Test ROC-AUC: 0.9606
Test EER (%): 9.99%
Optimal Threshold: 0.000100

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 589.44 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8012
Test ROC-AUC: 0.8988
Test EER (%): 19.89%
Optimal Threshold: 0.000476

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 466.45 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9180
Test ROC-AUC: 0.9653
Test EER (%): 8.21%
Optimal Threshold: 0.000280

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 333.38 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8933
Test ROC-AUC: 0.9572
Test EER (%): 10.67%
Optimal Threshold: 0.000604

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 822.08 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9158
Test ROC-AUC: 0.9682
Test EER (%): 8.42%
Optimal Threshold: 0.000121

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 409.16 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9112
Test ROC-AUC: 0.9686
Test EER (%): 8.89%
Optimal Threshold: 0.000266

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 383.14 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8670
Test ROC-AUC: 0.9394
Test EER (%): 13.31%
Optimal Threshold: 0.000277

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 306.84 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9053
Test ROC-AUC: 0.9561
Test EER (%): 9.46%
Optimal Threshold: 0.006165

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 281.29 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8897
Test ROC-AUC: 0.9587
Test EER (%): 11.03%
Optimal Threshold: 0.000434

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 306.76 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.8927
Test ROC-AUC: 0.9531
Test EER (%): 10.73%
Optimal Threshold: 0.000363

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 411.61 seconds
Highest Val Acc: 0.9833
Default Test Acc: 0.9049
Test ROC-AUC: 0.9632
Test EER (%): 9.52%
Optimal Threshold: 0.000336

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 666.54 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8057
Test ROC-AUC: 0.8914
Test EER (%): 19.43%
Optimal Threshold: 0.000531

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 359.62 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.9186
Test ROC-AUC: 0.9719
Test EER (%): 8.14%
Optimal Threshold: 0.000106

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 308.00 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8787
Test ROC-AUC: 0.9488
Test EER (%): 12.13%
Optimal Threshold: 0.000263

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 616.81 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8204
Test ROC-AUC: 0.9128
Test EER (%): 17.96%
Optimal Threshold: 0.000067

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 334.09 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8977
Test ROC-AUC: 0.9607
Test EER (%): 10.24%
Optimal Threshold: 0.000117

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 334.31 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8977
Test ROC-AUC: 0.9607
Test EER (%): 10.24%
Optimal Threshold: 0.000117

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 593.21 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8747
Test ROC-AUC: 0.9445
Test EER (%): 12.52%
Optimal Threshold: 0.000096

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 587.73 seconds
Highest Val Acc: 0.9873
Default Test Acc: 0.8747
Test ROC-AUC: 0.9445
Test EER (%): 12.52%
Optimal Threshold: 0.000096

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 314.03 seconds
Highest Val Acc: 0.9948
Default Test Acc: 0.8747
Test ROC-AUC: 0.9452
Test EER (%): 12.54%
Optimal Threshold: 0.000293

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 442.01 seconds
Highest Val Acc: 0.9965
Default Test Acc: 0.8820
Test ROC-AUC: 0.9496
Test EER (%): 11.80%
Optimal Threshold: 0.000095

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 780.02 seconds
Highest Val Acc: 0.9965
Default Test Acc: 0.8942
Test ROC-AUC: 0.9591
Test EER (%): 10.58%
Optimal Threshold: 0.000059

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 769.69 seconds
Highest Val Acc: 0.9792
Default Test Acc: 0.8928
Test ROC-AUC: 0.9581
Test EER (%): 10.71%
Optimal Threshold: 0.000054

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 100
Training Time: 540.75 seconds
Highest Val Acc: 0.9901
Default Test Acc: 0.9158
Test ROC-AUC: 0.9713
Test EER (%): 8.42%
Optimal Threshold: 0.000031

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 592.14 seconds
Highest Val Acc: 0.9663
Default Test Acc: 0.8560
Test ROC-AUC: 0.9374
Test EER (%): 14.43%
Optimal Threshold: 0.000052

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 618.72 seconds
Highest Val Acc: 0.9593
Default Test Acc: 0.8355
Test ROC-AUC: 0.9239
Test EER (%): 16.45%
Optimal Threshold: 0.000032

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 487.36 seconds
Highest Val Acc: 0.9321
Default Test Acc: 0.8571
Test ROC-AUC: 0.9356
Test EER (%): 14.29%
Optimal Threshold: 0.000022

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 1339.98 seconds
Highest Val Acc: 0.9238
Default Test Acc: 0.8573
Test ROC-AUC: 0.9373
Test EER (%): 14.26%
Optimal Threshold: 0.000030

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 668.84 seconds
Highest Val Acc: 0.9622
Default Test Acc: 0.7903
Test ROC-AUC: 0.8841
Test EER (%): 20.97%
Optimal Threshold: 0.000033

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 538.01 seconds
Highest Val Acc: 0.9866
Default Test Acc: 0.9028
Test ROC-AUC: 0.9656
Test EER (%): 9.72%
Optimal Threshold: 0.000018

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 414.12 seconds
Highest Val Acc: 0.9845
Default Test Acc: 0.8961
Test ROC-AUC: 0.9597
Test EER (%): 10.39%
Optimal Threshold: 0.000111

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 412.65 seconds
Highest Val Acc: 0.9733
Default Test Acc: 0.8166
Test ROC-AUC: 0.9037
Test EER (%): 18.34%
Optimal Threshold: 0.000233

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 409.30 seconds
Highest Val Acc: 0.9712
Default Test Acc: 0.8773
Test ROC-AUC: 0.9489
Test EER (%): 12.28%
Optimal Threshold: 0.000149

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 415.66 seconds
Highest Val Acc: 0.9703
Default Test Acc: 0.8922
Test ROC-AUC: 0.9563
Test EER (%): 10.78%
Optimal Threshold: 0.000144

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 422.78 seconds
Highest Val Acc: 0.9685
Default Test Acc: 0.8146
Test ROC-AUC: 0.9053
Test EER (%): 18.55%
Optimal Threshold: 0.000154

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 413.87 seconds
Highest Val Acc: 0.9769
Default Test Acc: 0.8858
Test ROC-AUC: 0.9551
Test EER (%): 11.39%
Optimal Threshold: 0.000064

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 468.76 seconds
Highest Val Acc: 0.8754
Default Test Acc: 0.8767
Test ROC-AUC: 0.9467
Test EER (%): 12.33%
Optimal Threshold: 0.000021

========================================
NEXT TRIAL RUN STATISTICS:
========================================
Model Name: CNNTRANSFORMER
Epochs: 200
Training Time: 442.22 seconds
Highest Val Acc: 0.9114
Default Test Acc: 0.8331
Test ROC-AUC: 0.9215
Test EER (%): 16.70%
Optimal Threshold: 0.000025

========================================
NEXT TRIAL RUN STATISTICS:
